Date,Abap,Ada,C/C++,C#,Cobol,Dart,Delphi/Pascal,Go,Groovy,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,Objective-C,Perl,PHP,Powershell,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,Visual Basic
August 2005,0.32,0.3,9.139999999999999,6.140000000000001,0.4,0,2.35,0,0.09,0.24,30.209999999999997,8.61,0,0,0.21,2.12,0.11,6.510000000000001,19.62,0.09,3.1199999999999997,0.44,0.66,0.12,0.09,0,0.09,1.6099999999999999,7.41
September 2005,0.36,0.29,9.04,6.17,0.4,0,2.32,0,0.08,0.22,30.15,8.35,0,0,0.26,2.0500000000000003,0.13,6.58,19.82,0.09,3.27,0.44999999999999996,0.79,0.16999999999999998,0.05,0,0.11,1.6,7.26
October 2005,0.38,0.31,8.690000000000001,6.18,0.44999999999999996,0,2.4299999999999997,0,0.08,0.24,30.099999999999998,8.15,0,0,0.27999999999999997,2.18,0.13999999999999999,6.59,19.61,0.09,3.46,0.49,0.9400000000000001,0.16,0.05,0,0.11,1.69,7.199999999999999
November 2005,0.38,0.27999999999999997,8.48,6.3100000000000005,0.44999999999999996,0,2.46,0,0.06999999999999999,0.25,30.2,8.219999999999999,0,0,0.3,2.27,0.13,6.54,19.56,0.06,3.63,0.51,1.09,0.16999999999999998,0.02,0,0.06999999999999999,1.6400000000000001,6.909999999999999
December 2005,0.38999999999999996,0.27999999999999997,8.37,6.529999999999999,0.48,0,2.44,0,0.08,0.27,29.84,8.12,0,0,0.32,2.35,0.11,6.5600000000000005,19.33,0.03,3.88,0.53,1.24,0.16,0.06,0,0.06,1.66,6.909999999999999
January 2006,0.4,0.29,8.51,6.2700000000000005,0.44999999999999996,0,2.39,0,0.09,0.27,29.720000000000002,8.1,0,0,0.35000000000000003,2.32,0.11,6.329999999999999,19.67,0.08,3.9600000000000004,0.51,1.37,0.15,0.11,0,0.1,1.6,6.88
February 2006,0.41000000000000003,0.32,8.4,6.36,0.51,0,2.48,0,0.09,0.3,29.75,7.960000000000001,0,0.01,0.37,2.41,0.13,6.11,19.49,0.06,3.95,0.5599999999999999,1.58,0.13999999999999999,0.13,0,0.08,1.67,6.7299999999999995
March 2006,0.37,0.27999999999999997,8.35,6.47,0.48,0,2.39,0,0.1,0.3,30.04,8.02,0,0.02,0.33999999999999997,2.54,0.11,5.8999999999999995,19.5,0.06,3.93,0.53,1.68,0.09,0.13,0,0.06,1.6400000000000001,6.65
April 2006,0.35000000000000003,0.25,8.450000000000001,6.65,0.44,0,2.17,0,0.11,0.29,30.06,8.08,0,0.05,0.35000000000000003,2.46,0.1,5.76,19.91,0.08,3.8,0.52,1.78,0.09,0.16,0,0.06,1.53,6.5
May 2006,0.33999999999999997,0.24,8.52,6.619999999999999,0.44,0,2.06,0,0.11,0.27999999999999997,30.130000000000003,8.260000000000002,0,0.06,0.35000000000000003,2.2800000000000002,0.1,5.52,20.28,0.09,3.6999999999999997,0.52,1.9,0.06999999999999999,0.15,0,0.06,1.51,6.45
June 2006,0.33999999999999997,0.22999999999999998,8.63,6.45,0.44,0,1.92,0,0.11,0.27999999999999997,30.330000000000002,8.38,0,0.08,0.36,2.23,0.11,5.35,20.57,0.1,3.65,0.52,1.9,0.06999999999999999,0.13,0,0.06,1.48,6.29
July 2006,0.35000000000000003,0.22,8.459999999999999,6.64,0.45999999999999996,0,1.91,0,0.09,0.29,30.349999999999998,8.41,0,0.08,0.4,2.31,0.13,5.4,20.45,0.1,3.5700000000000003,0.5599999999999999,1.92,0.08,0.12,0,0,1.48,6.23
August 2006,0.35000000000000003,0.2,8.43,6.78,0.38999999999999996,0,1.8599999999999999,0,0.11,0.26,30.18,8.37,0,0.08,0.38999999999999996,2.27,0.11,5.4399999999999995,20.54,0.11,3.64,0.51,2.07,0.08,0.13,0,0,1.5,6.1899999999999995
September 2006,0.33999999999999997,0.21,8.28,6.909999999999999,0.41000000000000003,0,1.95,0,0.09,0.27,29.970000000000002,8.35,0,0.06999999999999999,0.44,2.13,0.13,5.5,20.45,0.13,3.7900000000000005,0.53,2.1999999999999997,0.09,0.16,0,0,1.58,6.04
October 2006,0.33999999999999997,0.25,8.21,6.959999999999999,0.41000000000000003,0,2.02,0,0.06999999999999999,0.3,29.81,8.39,0,0.04,0.44999999999999996,2.19,0.13999999999999999,5.47,20.19,0.1,3.91,0.54,2.27,0.09,0.15,0,0,1.69,6.01
November 2006,0.36,0.25,8.15,7.000000000000001,0.41000000000000003,0,1.9900000000000002,0,0.09,0.32,29.89,8.450000000000001,0,0.04,0.44,2.25,0.13999999999999999,5.4,20.05,0.1,3.95,0.53,2.29,0.09,0.16,0,0,1.7500000000000002,5.8999999999999995
December 2006,0.4,0.27999999999999997,8.18,7.049999999999999,0.4,0,1.96,0,0.06999999999999999,0.33999999999999997,29.99,8.35,0,0.01,0.47000000000000003,2.29,0.13999999999999999,5.390000000000001,19.900000000000002,0.11,3.9699999999999998,0.5700000000000001,2.37,0.09,0.13,0,0,1.7000000000000002,5.84
January 2007,0.38,0.27999999999999997,8.12,7.140000000000001,0.38,0,1.92,0,0.06999999999999999,0.35000000000000003,30.06,8.38,0,0.02,0.42,2.26,0.11,5.42,19.85,0.06999999999999999,4.14,0.5700000000000001,2.5,0.08,0.09,0,0,1.72,5.67
February 2007,0.4,0.24,8.260000000000002,7.02,0.41000000000000003,0,1.91,0.01,0.05,0.38,30.270000000000003,8.41,0,0.01,0.42,2.4,0.11,5.21,19.57,0.06,4.34,0.62,2.4899999999999998,0.06,0.08,0,0,1.6500000000000001,5.609999999999999
March 2007,0.38999999999999996,0.24,8.24,6.9,0.38,0,1.76,0.06,0.04,0.38,30.570000000000004,8.36,0,0.06,0.37,2.42,0.09,4.88,19.82,0.08,4.29,0.62,2.4899999999999998,0.09,0.06999999999999999,0,0.06999999999999999,1.63,5.6899999999999995
April 2007,0.38,0.21,8.1,6.78,0.38999999999999996,0,1.78,0.06,0.06999999999999999,0.35000000000000003,30.470000000000002,8.38,0,0.06,0.35000000000000003,2.5100000000000002,0.08,4.81,20.02,0.09,4.390000000000001,0.6,2.62,0.09,0.06,0,0.06999999999999999,1.6,5.67
May 2007,0.38,0.18,8.07,6.75,0.36,0,1.76,0.06,0.06999999999999999,0.33999999999999997,30.43,8.27,0,0.11,0.36,2.52,0.08,4.78,20.28,0.11,4.42,0.63,2.63,0.08,0.1,0,0.08,1.5599999999999998,5.58
June 2007,0.32,0.13,7.9,6.81,0.32,0,1.8399999999999999,0.06999999999999999,0.08,0.31,30.55,8.36,0,0.12,0.3,2.39,0.06,4.78,20.32,0.09,4.47,0.58,2.76,0.08,0.11,0,0.08,1.6199999999999999,5.55
July 2007,0.33999999999999997,0.13999999999999999,7.99,6.72,0.32,0,1.79,0.09,0.08,0.27999999999999997,30.570000000000004,8.48,0,0.11,0.33,2.39,0.06999999999999999,4.65,20.29,0.09,4.34,0.59,2.8000000000000003,0.06999999999999999,0.12,0,0.1,1.66,5.58
August 2007,0.36,0.22,7.9399999999999995,6.74,0.32,0,1.6500000000000001,0.12,0.09,0.29,30.669999999999998,8.57,0,0.13,0.35000000000000003,2.2399999999999998,0.08,4.569999999999999,20.74,0.11,4.17,0.58,2.78,0.09,0.13999999999999999,0,0.1,1.6500000000000001,5.29
September 2007,0.36,0.22,7.9399999999999995,6.83,0.33999999999999997,0,1.71,0.06999999999999999,0.1,0.27999999999999997,30.64,8.57,0,0.06999999999999999,0.35000000000000003,2.22,0.09,4.75,20.72,0.11,4.21,0.62,2.8000000000000003,0.06,0.12,0,0.03,1.6400000000000001,5.13
